n,s,s_over_n,shape,config
184,83,0.451087,S3,1x101 + 83* (q=41)
185,37,0.200000,S2,5x37
186,83,0.446237,S3,1x103 + 83* (q=41)
187,59,0.315508,S7f2,2x64 + 59* (q=29)
188,81,0.430851,S3,1x81 + 107* (q=53)
189,53,0.280423,S7f2,2x53 + 83* (q=41)
190,83,0.436842,S3,1x83 + 107* (q=53)
191,191,1.000000,S1,"AGL(1,191)"
192,83,0.432292,S3,1x109 + 83* (q=41)
193,193,1.000000,S1,"AGL(1,193)"
194,97,0.500000,S2,2x97
195,37,0.189744,S7f4,4x37 + 47* (q=23)
196,89,0.454082,S3,1x89 + 107* (q=53)
197,197,1.000000,S1,"AGL(1,197)"
198,59,0.297980,S3,1x139 + 59* (q=29)
199,199,1.000000,S1,"AGL(1,199)"
200,47,0.235000,S7f3,3x47 + 59* (q=29)
201,67,0.333333,S2,3x67
202,101,0.500000,S2,2x101
203,32,0.157635,S7f3,3x32 + 107* (q=53)
204,97,0.475490,S3,1x97 + 107* (q=53)
205,61,0.297561,S7f2,2x61 + 83* (q=41)
206,103,0.500000,S2,2x103
207,37,0.178744,S7f4,4x37 + 59* (q=29)
208,101,0.485577,S3,1x101 + 107* (q=53)
209,47,0.224880,S7f2,2x81 + 47* (q=23)
210,103,0.490476,S3,1x103 + 107* (q=53)
211,211,1.000000,S1,"AGL(1,211)"
212,53,0.250000,S2,4x53
213,71,0.333333,S2,3x71
214,107,0.500000,S2,2x107
215,43,0.200000,S2,5x43
216,107,0.495370,S3,1x109 + 107* (q=53)
217,67,0.308756,S7f2,2x67 + 83* (q=41)
218,109,0.500000,S2,2x109
219,73,0.333333,S2,3x73
220,107,0.486364,S3,1x113 + 107* (q=53)
221,59,0.266968,S7f2,2x81 + 59* (q=29)
222,83,0.373874,S3,1x139 + 83* (q=41)
223,223,1.000000,S1,"AGL(1,223)"
224,61,0.272321,S3,1x61 + 163* (q=3)
225,71,0.315556,S7f2,2x71 + 83* (q=41)
226,113,0.500000,S2,2x113
227,227,1.000000,S1,"AGL(1,227)"
228,107,0.469298,S3,1x121 + 107* (q=53)
229,229,1.000000,S1,"AGL(1,229)"
230,67,0.291304,S3,1x67 + 163* (q=3)
231,64,0.277056,S3,1x64 + 167* (q=83)
232,107,0.461207,S3,1x125 + 107* (q=53)
233,233,1.000000,S1,"AGL(1,233)"
234,107,0.457265,S3,1x127 + 107* (q=53)
235,107,0.455319,S3,1x128 + 107* (q=53)
236,73,0.309322,S3,1x73 + 163* (q=3)
237,79,0.333333,S2,3x79
238,107,0.449580,S3,1x131 + 107* (q=53)
239,239,1.000000,S1,"AGL(1,239)"
240,83,0.345833,S3,1x157 + 83* (q=41)
241,241,1.000000,S1,"AGL(1,241)"
242,121,0.500000,S2,2x121
243,243,1.000000,S1,"AGL(1,243)"
244,107,0.438525,S3,1x137 + 107* (q=53)
245,81,0.330612,S7f2,2x81 + 83* (q=41)
246,107,0.434959,S3,1x139 + 107* (q=53)
247,47,0.190283,S7f4,4x47 + 59* (q=29)
248,81,0.326613,S3,1x81 + 167* (q=83)
249,83,0.333333,S2,3x83
250,125,0.500000,S2,2x125
251,251,1.000000,S1,"AGL(1,251)"
252,89,0.353175,S3,1x89 + 163* (q=3)
253,73,0.288538,S7f2,2x73 + 107* (q=53)
254,127,0.500000,S2,2x127
255,49,0.192157,S7f4,4x49 + 59* (q=29)
256,256,1.000000,S1,"AGL(1,256)"
257,257,1.000000,S1,"AGL(1,257)"
258,107,0.414729,S3,1x151 + 107* (q=53)
259,47,0.181467,S7f4,4x53 + 47* (q=23)
260,97,0.373077,S3,1x97 + 163* (q=3)
261,83,0.318008,S7f2,2x89 + 83* (q=41)
262,131,0.500000,S2,2x131
263,263,1.000000,S1,"AGL(1,263)"
264,107,0.405303,S3,1x157 + 107* (q=53)
265,79,0.298113,S7f2,2x79 + 107* (q=53)
266,103,0.387218,S3,1x103 + 163* (q=3)
267,89,0.333333,S2,3x89
268,101,0.376866,S3,1x101 + 167* (q=83)
269,269,1.000000,S1,"AGL(1,269)"
270,107,0.396296,S3,1x107 + 163* (q=3)
271,271,1.000000,S1,"AGL(1,271)"
272,109,0.400735,S3,1x109 + 163* (q=3)
273,83,0.304029,S7f2,2x83 + 107* (q=53)
274,137,0.500000,S2,2x137
275,64,0.232727,S7f3,3x64 + 83* (q=41)
276,113,0.409420,S3,1x113 + 163* (q=3)
277,277,1.000000,S1,"AGL(1,277)"
278,139,0.500000,S2,2x139
279,49,0.175627,S7f4,4x49 + 83* (q=41)
280,113,0.403571,S3,1x113 + 167* (q=83)
281,281,1.000000,S1,"AGL(1,281)"
282,103,0.365248,S3,1x103 + 179* (q=89)
283,283,1.000000,S1,"AGL(1,283)"
284,121,0.426056,S3,1x121 + 163* (q=3)
285,89,0.312281,S7f2,2x89 + 107* (q=53)
286,107,0.374126,S3,1x107 + 179* (q=89)
287,41,0.142857,S2,7x41
288,125,0.434028,S3,1x125 + 163* (q=3)
289,289,1.000000,S1,"AGL(1,289)"
290,127,0.437931,S3,1x127 + 163* (q=3)
291,128,0.439863,S3,1x128 + 163* (q=3)
292,125,0.428082,S3,1x125 + 167* (q=83)
293,293,1.000000,S1,"AGL(1,293)"
294,131,0.445578,S3,1x131 + 163* (q=3)
295,128,0.433898,S3,1x128 + 167* (q=83)
296,71,0.239865,S7f3,3x71 + 83* (q=41)
297,83,0.279461,S7f2,2x107 + 83* (q=41)
298,149,0.500000,S2,2x149
299,64,0.214047,S7f3,3x64 + 107* (q=53)
300,137,0.456667,S3,1x137 + 163* (q=3)
301,97,0.322259,S7f2,2x97 + 107* (q=53)
302,151,0.500000,S2,2x151
303,101,0.333333,S2,3x101
304,137,0.450658,S3,1x137 + 167* (q=83)
305,71,0.232787,S7f2,2x71 + 163* (q=3)
306,139,0.454248,S3,1x139 + 167* (q=83)
307,307,1.000000,S1,"AGL(1,307)"
308,81,0.262987,S3,1x81 + 227* (q=113)
309,103,0.333333,S2,3x103
310,131,0.422581,S3,1x131 + 179* (q=89)
311,311,1.000000,S1,"AGL(1,311)"
312,149,0.477564,S3,1x149 + 163* (q=3)
313,313,1.000000,S1,"AGL(1,313)"
314,157,0.500000,S2,2x157
315,64,0.203175,S3,1x64 + 251* (q=5)
316,149,0.471519,S3,1x149 + 167* (q=83)
317,317,1.000000,S1,"AGL(1,317)"
318,151,0.474843,S3,1x151 + 167* (q=83)
319,59,0.184953,S7f4,4x59 + 83* (q=41)
320,157,0.490625,S3,1x157 + 163* (q=3)
321,107,0.333333,S2,3x107
322,83,0.257764,S3,1x239 + 83* (q=41)
323,32,0.099071,S7f3,3x32 + 227* (q=113)
324,157,0.484568,S3,1x157 + 167* (q=83)
325,107,0.329231,S7f2,2x109 + 107* (q=53)
326,163,0.500000,S2,2x163
327,109,0.333333,S2,3x109
328,149,0.454268,S3,1x149 + 179* (q=89)
329,83,0.252280,S7f2,2x83 + 163* (q=3)
330,163,0.493939,S3,1x163 + 167* (q=83)
331,331,1.000000,S1,"AGL(1,331)"
332,163,0.490964,S3,1x169 + 163* (q=3)
333,107,0.321321,S7f2,2x113 + 107* (q=53)
334,167,0.500000,S2,2x167
335,67,0.200000,S2,5x67
336,167,0.497024,S3,1x169 + 167* (q=83)
337,337,1.000000,S1,"AGL(1,337)"
338,169,0.500000,S2,2x169
339,113,0.333333,S2,3x113
340,167,0.491176,S3,1x173 + 167* (q=83)
341,89,0.260997,S7f2,2x89 + 163* (q=3)
342,163,0.476608,S3,1x163 + 179* (q=89)
343,343,1.000000,S1,"AGL(1,343)"
344,163,0.473837,S3,1x181 + 163* (q=3)
345,89,0.257971,S7f2,2x89 + 167* (q=83)
346,173,0.500000,S2,2x173
347,347,1.000000,S1,"AGL(1,347)"
348,169,0.485632,S3,1x169 + 179* (q=89)
349,349,1.000000,S1,"AGL(1,349)"
350,107,0.305714,S3,1x243 + 107* (q=53)
351,67,0.190883,S7f4,4x67 + 83* (q=41)
352,173,0.491477,S3,1x173 + 179* (q=89)
353,353,1.000000,S1,"AGL(1,353)"
354,163,0.460452,S3,1x191 + 163* (q=3)
355,128,0.360563,S3,1x128 + 227* (q=113)
356,163,0.457865,S3,1x193 + 163* (q=3)
357,107,0.299720,S7f2,2x125 + 107* (q=53)
358,179,0.500000,S2,2x179
359,359,1.000000,S1,"AGL(1,359)"
360,179,0.497222,S3,1x181 + 179* (q=89)
361,361,1.000000,S1,"AGL(1,361)"
362,181,0.500000,S2,2x181
363,121,0.333333,S2,3x121
364,167,0.458791,S3,1x197 + 167* (q=83)
365,101,0.276712,S7f2,2x101 + 163* (q=3)
366,167,0.456284,S3,1x199 + 167* (q=83)
367,367,1.000000,S1,"AGL(1,367)"
368,67,0.182065,S7f3,3x67 + 167* (q=83)
369,107,0.289973,S7f2,2x131 + 107* (q=53)
370,179,0.483784,S3,1x191 + 179* (q=89)
371,64,0.172507,S7f3,3x64 + 179* (q=89)
372,179,0.481183,S3,1x193 + 179* (q=89)
373,373,1.000000,S1,"AGL(1,373)"
374,163,0.435829,S3,1x211 + 163* (q=3)
375,125,0.333333,S2,3x125
376,179,0.476064,S3,1x197 + 179* (q=89)
377,107,0.283820,S7f2,2x107 + 163* (q=3)
378,179,0.473545,S3,1x199 + 179* (q=89)
379,379,1.000000,S1,"AGL(1,379)"
380,71,0.186842,S7f3,3x71 + 167* (q=83)
381,127,0.333333,S2,3x127
382,191,0.500000,S2,2x191
383,383,1.000000,S1,"AGL(1,383)"
384,157,0.408854,S3,1x157 + 227* (q=113)
385,128,0.332468,S3,1x128 + 257* (q=2)
386,193,0.500000,S2,2x193
387,43,0.111111,S2,9x43
388,137,0.353093,S3,1x137 + 251* (q=5)
389,389,1.000000,S1,"AGL(1,389)"
390,179,0.458974,S3,1x211 + 179* (q=89)
391,128,0.327366,S3,1x128 + 263* (q=131)
392,163,0.415816,S3,1x229 + 163* (q=3)
393,131,0.333333,S2,3x131
394,197,0.500000,S2,2x197
395,79,0.200000,S2,5x79
396,169,0.426768,S3,1x169 + 227* (q=113)
397,397,1.000000,S1,"AGL(1,397)"
398,199,0.500000,S2,2x199
399,79,0.197995,S7f4,4x79 + 83* (q=41)
400,173,0.432500,S3,1x173 + 227* (q=113)
401,401,1.000000,S1,"AGL(1,401)"
402,179,0.445274,S3,1x223 + 179* (q=89)
403,73,0.181141,S7f2,2x73 + 257* (q=2)
404,163,0.403465,S3,1x241 + 163* (q=3)
405,121,0.298765,S7f2,2x121 + 163* (q=3)
406,179,0.440887,S3,1x179 + 227* (q=113)
407,81,0.199017,S7f4,4x81 + 83* (q=41)
408,181,0.443627,S3,1x181 + 227* (q=113)
409,409,1.000000,S1,"AGL(1,409)"
410,167,0.407317,S3,1x243 + 167* (q=83)
411,137,0.333333,S2,3x137
412,179,0.434466,S3,1x233 + 179* (q=89)
413,125,0.302663,S7f2,2x125 + 163* (q=3)
414,163,0.393720,S3,1x163 + 251* (q=5)
415,83,0.200000,S2,5x83
416,103,0.247596,S7f3,3x103 + 107* (q=53)
417,139,0.333333,S2,3x139
418,191,0.456938,S3,1x191 + 227* (q=113)
419,419,1.000000,S1,"AGL(1,419)"
420,193,0.459524,S3,1x193 + 227* (q=113)
421,421,1.000000,S1,"AGL(1,421)"
422,211,0.500000,S2,2x211
423,167,0.394799,S3,1x256 + 167* (q=83)
424,197,0.464623,S3,1x197 + 227* (q=113)
425,131,0.308235,S7f2,2x131 + 163* (q=3)
426,199,0.467136,S3,1x199 + 227* (q=113)
427,64,0.149883,S7f5,5x64 + 107* (q=53)
428,107,0.250000,S2,4x107
429,131,0.305361,S7f2,2x131 + 167* (q=83)
430,179,0.416279,S3,1x179 + 251* (q=5)
431,431,1.000000,S1,"AGL(1,431)"
432,181,0.418981,S3,1x181 + 251* (q=5)
433,433,1.000000,S1,"AGL(1,433)"
434,163,0.375576,S3,1x271 + 163* (q=3)
435,179,0.411494,S3,1x256 + 179* (q=89)
436,179,0.410550,S3,1x179 + 257* (q=2)
437,137,0.313501,S7f2,2x137 + 163* (q=3)
438,211,0.481735,S3,1x211 + 227* (q=113)
439,439,1.000000,S1,"AGL(1,439)"
440,163,0.370455,S3,1x277 + 163* (q=3)
441,139,0.315193,S7f2,2x139 + 163* (q=3)
442,191,0.432127,S3,1x191 + 251* (q=5)
443,443,1.000000,S1,"AGL(1,443)"
444,193,0.434685,S3,1x193 + 251* (q=5)
445,139,0.312360,S7f2,2x139 + 167* (q=83)
446,223,0.500000,S2,2x223
447,149,0.333333,S2,3x149
448,197,0.439732,S3,1x197 + 251* (q=5)
449,449,1.000000,S1,"AGL(1,449)"
450,223,0.495556,S3,1x223 + 227* (q=113)
451,97,0.215078,S7f2,2x97 + 257* (q=2)
452,163,0.360619,S3,1x289 + 163* (q=3)
453,151,0.333333,S2,3x151
454,227,0.500000,S2,2x227
455,73,0.160440,S7f4,4x73 + 163* (q=3)
456,227,0.497807,S3,1x229 + 227* (q=113)
457,457,1.000000,S1,"AGL(1,457)"
458,229,0.500000,S2,2x229
459,101,0.220044,S7f2,2x101 + 257* (q=2)
460,227,0.493478,S3,1x233 + 227* (q=113)
461,461,1.000000,S1,"AGL(1,461)"
462,211,0.456710,S3,1x211 + 251* (q=5)
463,463,1.000000,S1,"AGL(1,463)"
464,83,0.178879,S7f3,3x127 + 83* (q=41)
465,151,0.324731,S7f2,2x151 + 163* (q=3)
466,233,0.500000,S2,2x233
467,467,1.000000,S1,"AGL(1,467)"
468,227,0.485043,S3,1x241 + 227* (q=113)
469,151,0.321962,S7f2,2x151 + 167* (q=83)
470,227,0.482979,S3,1x243 + 227* (q=113)
471,157,0.333333,S2,3x157
472,179,0.379237,S3,1x293 + 179* (q=89)
473,61,0.128964,S7f6,6x61 + 107* (q=53)
474,223,0.470464,S3,1x223 + 251* (q=5)
475,128,0.269474,S3,1x128 + 347* (q=173)
476,163,0.342437,S3,1x313 + 163* (q=3)
477,157,0.329140,S7f2,2x157 + 163* (q=3)
478,239,0.500000,S2,2x239
479,479,1.000000,S1,"AGL(1,479)"
480,229,0.477083,S3,1x229 + 251* (q=5)
481,157,0.326403,S7f2,2x157 + 167* (q=83)
482,241,0.500000,S2,2x241
483,227,0.469979,S3,1x256 + 227* (q=113)
484,233,0.481405,S3,1x233 + 251* (q=5)
485,97,0.200000,S2,5x97
486,243,0.500000,S2,2x243
487,487,1.000000,S1,"AGL(1,487)"
488,107,0.219262,S7f3,3x107 + 167* (q=83)
489,163,0.333333,S2,3x163
490,239,0.487755,S3,1x239 + 251* (q=5)
491,491,1.000000,S1,"AGL(1,491)"
492,241,0.489837,S3,1x241 + 251* (q=5)
493,163,0.330629,S7f2,2x163 + 167* (q=83)
494,243,0.491903,S3,1x243 + 251* (q=5)
495,97,0.195960,S7f4,4x97 + 107* (q=53)
496,239,0.481855,S3,1x239 + 257* (q=2)
497,163,0.327968,S7f2,2x167 + 163* (q=3)
498,241,0.483936,S3,1x241 + 257* (q=2)
499,499,1.000000,S1,"AGL(1,499)"
500,243,0.486000,S3,1x243 + 257* (q=2)
501,167,0.333333,S2,3x167
502,251,0.500000,S2,2x251
503,503,1.000000,S1,"AGL(1,503)"
504,241,0.478175,S3,1x241 + 263* (q=131)
505,167,0.330693,S7f2,2x169 + 167* (q=83)
506,243,0.480237,S3,1x243 + 263* (q=131)
507,251,0.495069,S3,1x256 + 251* (q=5)
508,251,0.494094,S3,1x251 + 257* (q=2)
509,509,1.000000,S1,"AGL(1,509)"
510,227,0.445098,S3,1x283 + 227* (q=113)
511,128,0.250489,S3,1x128 + 383* (q=191)
512,512,1.000000,S1,"AGL(1,512)"
513,256,0.499025,S3,1x256 + 257* (q=2)
514,257,0.500000,S2,2x257
515,103,0.200000,S2,5x103
516,227,0.439922,S3,1x289 + 227* (q=113)
517,169,0.326886,S7f2,2x169 + 179* (q=89)
518,113,0.218147,S7f3,3x113 + 179* (q=89)
519,256,0.493256,S3,1x256 + 263* (q=131)
520,257,0.494231,S3,1x257 + 263* (q=131)
521,521,1.000000,S1,"AGL(1,521)"
522,251,0.480843,S3,1x271 + 251* (q=5)
523,523,1.000000,S1,"AGL(1,523)"
524,163,0.311069,S3,1x361 + 163* (q=3)
525,173,0.329524,S7f2,2x173 + 179* (q=89)
526,263,0.500000,S2,2x263
527,37,0.070209,S7f12,12x37 + 83* (q=41)
528,257,0.486742,S3,1x271 + 257* (q=2)
529,529,1.000000,S1,"AGL(1,529)"
530,163,0.307547,S3,1x367 + 163* (q=3)
531,137,0.258004,S7f2,2x137 + 257* (q=2)
532,263,0.494361,S3,1x269 + 263* (q=131)
533,71,0.133208,S7f6,6x71 + 107* (q=53)
534,263,0.492509,S3,1x271 + 263* (q=131)
535,139,0.259813,S7f2,2x139 + 257* (q=2)
536,163,0.304104,S3,1x373 + 163* (q=3)
537,179,0.333333,S2,3x179
538,269,0.500000,S2,2x269
539,64,0.118738,S7f3,3x64 + 347* (q=173)
540,263,0.487037,S3,1x277 + 263* (q=131)
541,541,1.000000,S1,"AGL(1,541)"
542,271,0.500000,S2,2x271
543,181,0.333333,S2,3x181
544,263,0.483456,S3,1x281 + 263* (q=131)
545,163,0.299083,S7f2,2x191 + 163* (q=3)
546,263,0.481685,S3,1x283 + 263* (q=131)
547,547,1.000000,S1,"AGL(1,547)"
548,137,0.250000,S2,4x137
549,167,0.304189,S7f2,2x191 + 167* (q=83)
550,257,0.467273,S3,1x293 + 257* (q=2)
551,128,0.232305,S7f3,3x128 + 167* (q=83)
552,263,0.476449,S3,1x289 + 263* (q=131)
553,167,0.301989,S7f2,2x193 + 167* (q=83)
554,277,0.500000,S2,2x277
555,149,0.268468,S7f2,2x149 + 257* (q=2)
556,263,0.473022,S3,1x293 + 263* (q=131)
557,557,1.000000,S1,"AGL(1,557)"
558,251,0.449821,S3,1x307 + 251* (q=5)
559,151,0.270125,S7f2,2x151 + 257* (q=2)
560,163,0.291071,S3,1x397 + 163* (q=3)
561,179,0.319073,S7f2,2x191 + 179* (q=89)
562,281,0.500000,S2,2x281
563,563,1.000000,S1,"AGL(1,563)"
564,257,0.455674,S3,1x307 + 257* (q=2)
565,179,0.316814,S7f2,2x193 + 179* (q=89)
566,283,0.500000,S2,2x283
567,101,0.178131,S7f4,4x101 + 163* (q=3)
568,257,0.452465,S3,1x311 + 257* (q=2)
569,569,1.000000,S1,"AGL(1,569)"
570,263,0.461404,S3,1x307 + 263* (q=131)
571,571,1.000000,S1,"AGL(1,571)"
572,163,0.284965,S3,1x409 + 163* (q=3)
573,191,0.333333,S2,3x191
574,263,0.458188,S3,1x311 + 263* (q=131)
575,103,0.179130,S7f4,4x103 + 163* (q=3)
576,263,0.456597,S3,1x313 + 263* (q=131)
577,577,1.000000,S1,"AGL(1,577)"
578,289,0.500000,S2,2x289
579,193,0.333333,S2,3x193
580,263,0.453448,S3,1x317 + 263* (q=131)
581,83,0.142857,S2,7x83
582,251,0.431271,S3,1x331 + 251* (q=5)
583,163,0.279588,S7f2,2x163 + 257* (q=2)
584,163,0.279110,S3,1x421 + 163* (q=3)
585,179,0.305983,S7f2,2x179 + 227* (q=113)
586,293,0.500000,S2,2x293
587,587,1.000000,S1,"AGL(1,587)"
588,257,0.437075,S3,1x331 + 257* (q=2)
589,181,0.307301,S7f2,2x181 + 227* (q=113)
590,243,0.411864,S3,1x243 + 347* (q=173)
591,197,0.333333,S2,3x197
592,233,0.393581,S3,1x233 + 359* (q=179)
593,593,1.000000,S1,"AGL(1,593)"
594,263,0.442761,S3,1x331 + 263* (q=131)
595,169,0.284034,S7f2,2x169 + 257* (q=2)
596,163,0.273490,S3,1x433 + 163* (q=3)
597,199,0.333333,S2,3x199
